"","Rank","Major_code","Major","Major_category","recent_total","recent_men","recent_women","recent_ShareWomen","recent_sample_size","recent_employed","recent_full_time","recent_part_time","recent_full_time_year_round","recent_unemployed","recent_unemployment_rate","recent_median","recent_p25th","recent_p75th","recent_college_jobs","recent_non_college_jobs","recent_low_wage_jobs","Grad_total","Grad_sample_size","Grad_employed","Grad_full_time_year_round","Grad_unemployed","Grad_unemployment_rate","Grad_median","Grad_P25","Grad_P75","Nongrad_total","Nongrad_employed","Nongrad_full_time_year_round","Nongrad_unemployed","Nongrad_unemployment_rate","Nongrad_median","Nongrad_P25","Nongrad_P75","Grad_share","Grad_premium","all_total","all_employed","all_employed_full_time_year_round","all_unemployed","all_unemployment_rate","all_median","all_p25th","all_p75th","full_total","full_employed","total_unemployed","full_median"
"14",12,2401,"AEROSPACE ENGINEERING","Engineering",15058,12953,2105,0.139792801,147,11391,11106,2724,8790,794,0.065162085,60000,42000,70000,8184,2425,372,58511,1240,42632,39834,1225,0.027931687,107000,80000,140000,60077,41023,36578,1656,0.038801284,85000,60000,110000,0.493397308,0.258823529,65734,44944,38491,1969,0.041971309,80000,58000,110000,139303,114846,3988,83000
"15",19,2403,"ARCHITECTURAL ENGINEERING","Engineering",2825,1835,990,0.350442478,26,2575,2277,343,1848,170,0.061930783,54000,38000,65000,1665,649,137,6466,143,4857,4264,304,0.058903313,78000,56000,110000,18500,12772,10648,889,0.065075763,80000,52000,106000,0.258992229,-0.025,19587,13713,11180,1017,0.06904277,78000,50000,102000,28878,22754,1491,72500
"16",21,2102,"COMPUTER SCIENCE","Computers & Mathematics",128319,99743,28576,0.222695002,1196,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000,68622,25667,5144,324402,6674,281088,243500,10557,0.036198118,95000,69000,125000,739583,623930,544970,31060,0.047420571,80000,52000,106000,0.304893396,0.1875,783292,656372,561052,34196,0.049518657,78000,51000,105000,1236013,1082861,51637,76500
"17",24,2413,"MATERIALS ENGINEERING AND MATERIALS SCIENCE","Engineering",2993,2020,973,0.325091881,22,2449,1658,1040,1151,70,0.027788805,52000,35000,62000,1911,305,70,17051,335,13042,10727,705,0.051283916,92000,70000,120000,20152,13729,11755,880,0.06023684,78000,55000,105000,0.458323254,0.179487179,21430,14687,11871,933,0.059731114,78000,55000,105000,41474,34187,1708,75000
"18",26,2406,"CIVIL ENGINEERING","Engineering",53153,41081,12072,0.227117943,565,43041,38302,10080,29196,3270,0.070609574,50000,40000,60000,28526,9356,2899,196344,4057,150299,127120,5327,0.034229499,98000,70000,130000,338011,247251,212776,13275,0.050954607,80000,56000,105000,0.367441121,0.225,358593,262831,220528,14823,0.053386589,78000,55000,105000,608090,502216,23420,76500
"19",14,5008,"MATERIALS SCIENCE","Engineering",4279,2949,1330,0.310820285,22,3307,2751,878,1967,78,0.023042836,60000,39000,65000,2626,391,81,14184,299,12263,9894,273,0.021777281,95000,65000,125000,5643,4619,4001,134,0.02819272,80000,65000,103000,0.715388107,0.1875,7208,5866,4505,134,0.022333333,75000,60000,1e+05,25671,23357,485,77500
"20",17,2412,"INDUSTRIAL AND MANUFACTURING ENGINEERING","Engineering",18968,12453,6515,0.343473218,183,15604,14879,2243,11326,699,0.042875544,57000,37900,67000,8306,3235,640,86791,1758,66432,56355,2669,0.038624622,98000,70000,135000,131402,96312,82220,5047,0.049793309,76000,50000,104000,0.397771698,0.289473684,138366,101273,85014,5498,0.051493383,75000,50000,101000,244125,203668,8866,76500
"21",18,2400,"GENERAL ENGINEERING","Engineering",61152,45683,15469,0.252959838,425,44931,41235,7199,33540,2859,0.059824231,56000,36000,69000,26898,11734,3192,268473,4345,199771,174234,7460,0.035998475,1e+05,65000,139000,482878,346258,304610,16636,0.045842588,75000,50000,1e+05,0.357320347,0.333333333,503080,359172,312023,17986,0.047688237,75000,50000,1e+05,832705,672576,28305,76500
"22",51,2501,"ENGINEERING AND INDUSTRIAL MANAGEMENT","Engineering",2906,2400,506,0.174122505,29,2125,1992,462,1358,74,0.03365166,44000,30000,50000,482,844,245,20177,340,12781,11035,1336,0.094637671,107000,70000,150000,46013,26479,21870,1554,0.055434666,75000,50000,108000,0.304834567,0.426666667,47098,27275,22104,1577,0.054658256,74000,50000,107000,70181,49577,2987,75000
"23",7,6202,"ACTUARIAL SCIENCE","Business",3777,2110,1667,0.441355573,51,2912,2924,296,2482,308,0.095652174,62000,53000,72000,1768,314,259,2472,56,2020,1725,162,0.074243813,110000,80000,150000,7998,6666,6040,266,0.038372764,76000,53000,125000,0.236103152,0.447368421,9763,7846,6880,466,0.056063523,72000,53000,115000,16012,13230,936,80000
"24",25,6212,"MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",18713,13496,5217,0.278790146,278,16413,15141,2420,13017,1015,0.058239614,51000,38000,60000,6342,5741,708,41970,963,36227,32121,1459,0.038714642,89000,64500,116000,150110,129179,115177,5690,0.042189087,72000,50000,1e+05,0.218502707,0.236111111,156673,134478,118249,6186,0.043977137,72000,50000,1e+05,217356,192861,8660,71000
"25",29,2499,"MISCELLANEOUS ENGINEERING","Engineering",9133,7398,1735,0.189970437,118,7428,6811,1662,5476,597,0.074392523,50000,39000,65000,3445,2426,365,26032,497,19112,16552,685,0.034601202,90000,60000,122000,53532,41524,36059,2305,0.05259075,70000,50000,1e+05,0.327183148,0.285714286,57006,43906,37194,2744,0.058821008,70000,50000,1e+05,92171,77366,4026,70000
"26",31,2410,"ENVIRONMENTAL ENGINEERING","Engineering",4047,2662,1385,0.342228811,26,2983,2384,930,1951,308,0.093588575,50000,42000,56000,2028,830,260,11722,252,9387,8183,450,0.045745654,81000,56000,110000,10985,8641,7475,304,0.033985467,71900,55000,1e+05,0.516228476,0.126564673,13016,9849,8104,472,0.045732003,70000,50000,95000,28785,24554,1230,68225
"27",39,2503,"INDUSTRIAL PRODUCTION TECHNOLOGIES","Engineering",4631,3477,1154,0.24919024,73,4428,3988,597,3242,129,0.028308097,46000,35000,65000,1394,2454,480,19885,408,14752,12467,603,0.039270596,84500,60000,111000,81076,64389,56559,3431,0.050589797,70000,48000,99000,0.196957241,0.207142857,82142,65401,57266,3431,0.049846002,70000,48000,98000,106658,89714,4163,67625
"28",44,5007,"PHYSICS","Physical Sciences",32142,23080,9062,0.281936407,142,25302,19428,8721,14389,1282,0.048224496,45000,30000,68000,18674,4576,1823,227722,4361,168583,140603,6189,0.035411851,1e+05,62000,140000,111298,72752,57486,3832,0.050036561,74000,43000,110000,0.671706684,0.351351351,122620,80797,60812,4440,0.052090055,70000,40000,110000,382484,333821,11911,72250
"29",47,3702,"STATISTICS AND DECISION SCIENCE","Computers & Mathematics",6251,2960,3291,0.526475764,37,4247,3190,1840,2151,401,0.086273666,45000,26700,60000,2298,1200,343,21973,429,16979,14113,751,0.042357586,92000,64000,125000,22210,17024,13665,874,0.048832272,75000,45000,106000,0.497317973,0.226666667,24806,18808,14468,1138,0.057054046,70000,43000,102000,53030,45028,2290,70500
"30",48,3701,"APPLIED MATHEMATICS","Computers & Mathematics",4939,2794,2145,0.434298441,45,3854,3465,1176,2593,385,0.090823307,45000,34000,63000,2437,803,357,17075,386,14113,11699,416,0.02863239,1e+05,65000,135000,17276,13704,11253,773,0.05339504,76000,48000,110000,0.497074321,0.315789474,19112,15136,12109,892,0.055652608,70000,47000,106000,41126,36065,1693,72750
"31",37,5501,"ECONOMICS","Social Science",139247,89749,49498,0.355469059,1322,104117,96567,25325,70740,11452,0.099092317,47000,35000,65000,25582,37057,10653,517614,9822,386002,315920,17668,0.043768425,1e+05,63000,175000,700637,496450,409200,29246,0.055632913,70000,44000,111000,0.424882885,0.428571429,757616,535446,430580,34974,0.061312717,69000,42000,110000,1414477,1157177,64094,71500
"32",46,2105,"INFORMATION SCIENCES","Computers & Mathematics",11913,9005,2908,0.244103081,158,9881,9105,1468,7378,639,0.060741445,45000,32500,58000,4390,4102,608,25799,551,22403,19028,1179,0.049995759,84000,62000,114000,74072,63354,55946,3333,0.049979756,70000,48500,96000,0.258323237,0.2,77805,66393,57604,3704,0.052841063,68000,46200,95000,115517,102073,5522,66750
"33",23,2502,"ELECTRICAL ENGINEERING TECHNOLOGY","Engineering",11565,8181,3384,0.292607004,97,8587,7530,1873,5681,824,0.087557114,52000,35000,60000,5126,2686,696,28155,521,22501,19707,1296,0.054460646,85000,60000,110000,90886,71204,62854,4210,0.055825178,68000,48000,92000,0.23651515,0.25,94697,73737,64157,4572,0.058384094,67000,46900,91000,134417,110479,6692,68000
"34",107,5901,"TRANSPORTATION SCIENCES AND TECHNOLOGIES","Industrial Arts & Consumer Services",15150,13257,1893,0.124950495,180,12266,11688,2633,9170,962,0.072724524,35000,22000,52000,4575,6147,557,27410,538,20035,18088,980,0.046633357,90000,62000,124000,121260,94538,80650,4326,0.04375708,69000,45000,1e+05,0.184368063,0.304347826,126639,98814,83519,4902,0.047263682,67000,42500,98000,169199,138490,6844,65250
"35",42,3700,"MATHEMATICS","Computers & Mathematics",72397,39956,32441,0.448098678,541,58118,46399,18079,33738,2884,0.047277138,45000,33000,60000,34800,14829,4569,418056,6906,287467,217363,11245,0.037644956,89000,60000,127000,407046,262174,202078,14142,0.051180532,68000,43000,1e+05,0.506671902,0.308823529,432806,280902,209838,15701,0.05293608,66000,42000,1e+05,923259,757076,29830,67000
"36",13,2404,"BIOMEDICAL ENGINEERING","Engineering",14955,8407,6548,0.437846874,79,10047,9017,2694,5986,1019,0.09208386,60000,36000,70000,6439,2471,789,22155,475,19474,16845,366,0.018447581,90000,49000,150000,12362,9626,8051,547,0.053769783,70000,48000,104000,0.641857635,0.285714286,18347,12876,9202,1105,0.079035834,65000,40000,96000,55457,45078,2490,71250
"37",15,2409,"ENGINEERING MECHANICS PHYSICS AND SCIENCE","Engineering",4321,3526,795,0.183985189,30,3608,2999,811,2004,23,0.006334343,58000,25000,74000,2439,947,263,21377,447,15822,13676,472,0.028967718,1e+05,74000,147000,18682,13391,11561,660,0.046971746,70000,48000,1e+05,0.533637884,0.428571429,20582,14909,12257,683,0.043804515,65000,45000,1e+05,46280,39894,1178,73250
"38",27,5601,"CONSTRUCTION SERVICES","Industrial Arts & Consumer Services",18498,16820,1678,0.090712509,295,16318,15690,1751,12313,1042,0.060023041,50000,36000,60000,3275,5351,703,9173,200,7098,6511,681,0.087543386,75000,53000,110000,86062,73607,62435,3928,0.050660992,65000,47000,98000,0.09631963,0.153846154,92346,79055,65916,4257,0.051097081,65000,45000,95000,120017,104546,5980,63750
"39",28,6204,"OPERATIONS LOGISTICS AND E-COMMERCE","Business",11732,7921,3811,0.32483805,156,10027,9639,1183,7724,504,0.047858703,50000,40000,60000,1466,3629,285,15056,335,12659,10861,296,0.022848321,94000,64000,131000,52043,43074,38454,1827,0.040689517,66000,46800,92000,0.224384864,0.424242424,57200,47341,41104,2141,0.043268259,65000,45000,90000,83988,72424,2941,68750
"40",36,6207,"FINANCE","Business",174506,115030,59476,0.340824957,2189,145696,137921,21463,108595,9413,0.060686356,47000,35000,64000,24243,48447,9910,301650,6319,252242,221486,11635,0.044092513,95000,62000,150000,745903,615192,528057,28844,0.044786316,70000,45000,1e+05,0.287956791,0.357142857,816548,670681,561073,34166,0.048472931,65000,45000,1e+05,1292704,1118027,55214,69250
"41",38,6205,"BUSINESS ECONOMICS","Business",13302,7575,5727,0.430536761,199,10914,10048,1937,8000,1165,0.096448381,46000,33000,58000,1578,4612,1284,30210,642,22935,19467,1239,0.051253413,94000,60000,150000,69826,53771,45965,3186,0.055936935,70000,47000,101000,0.301991283,0.342857143,75547,57983,48471,3816,0.061748572,65000,45000,1e+05,119059,99107,6220,68750
"42",41,6201,"ACCOUNTING","Business",198633,94519,104114,0.524152583,2042,165527,151967,27693,123169,12411,0.069749014,45000,34000,56000,11417,39323,10886,569677,11774,451610,384280,19729,0.041857347,88000,59000,131000,1708418,1282267,1065334,68954,0.051030882,65000,44000,1e+05,0.250067271,0.353846154,1779219,1335825,1095027,75379,0.053414673,65000,42500,1e+05,2547529,2071029,107519,65750
"43",43,2100,"COMPUTER AND INFORMATION SYSTEMS","Computers & Mathematics",36698,27392,9306,0.253583302,425,28459,26348,4332,21130,2934,0.093460326,45000,30000,60000,13344,11783,1672,71527,1425,60858,53807,2539,0.040049214,80000,55000,104000,242194,209994,184959,10439,0.047356793,65000,45000,90000,0.227995576,0.230769231,253782,218248,189950,11945,0.051891239,65000,45000,90000,362007,318234,17418,63750
"44",86,5004,"GEOLOGY AND EARTH SCIENCE","Physical Sciences",10972,5813,5159,0.470196865,78,8296,6966,2913,5008,677,0.075448568,36200,28000,47000,4858,2792,959,90232,1814,66748,54643,1881,0.027408238,84000,55000,125000,103388,72682,57959,4848,0.062530633,66000,43000,1e+05,0.466026237,0.272727273,107902,75698,59262,5272,0.065110535,65000,42000,1e+05,209106,174226,7830,62800
"45",74,3801,"MILITARY TECHNOLOGIES","Industrial Arts & Consumer Services",124,124,0,0,4,0,111,0,111,0,0,40000,40000,40000,0,0,0,3465,29,1248,1040,72,0.054545455,74000,37900,123000,4278,1650,1671,187,0.101796407,64000,39000,90000,0.447500969,0.15625,4315,1650,1708,187,0.101796407,64000,39750,90000,7904,5115,259,60500
"46",32,2500,"ENGINEERING TECHNOLOGIES","Engineering",3600,2695,905,0.251388889,39,2799,2257,689,1723,163,0.055030385,50000,43000,60000,1017,1269,142,11724,219,9471,7958,450,0.045358331,74000,48400,105000,35992,29092,25129,1475,0.048254654,65000,40000,94000,0.245703747,0.138461538,37382,30102,25651,1475,0.046711214,63000,40000,93000,52706,44625,2088,63000
"47",59,1401,"ARCHITECTURE","Engineering",46420,25463,20957,0.451464886,362,34158,29223,10206,20026,4366,0.113331949,40000,31000,50000,16178,13724,4221,148255,2760,114536,88038,8665,0.070332221,72000,49800,102000,279577,207090,159313,18651,0.082621234,64000,42000,95000,0.346526207,0.125,294692,216770,163020,20394,0.085991129,63000,40400,93500,489367,399183,33425,59750
"48",66,2599,"MISCELLANEOUS ENGINEERING TECHNOLOGIES","Engineering",8804,7043,1761,0.200022717,125,7502,7001,1240,5825,416,0.05253852,40000,30400,56000,2446,3896,386,14816,315,12433,11146,407,0.031697819,80000,54000,105000,60571,50092,44199,3316,0.062088077,65000,43000,90000,0.196532559,0.230769231,64196,53097,46183,3401,0.060196821,63000,42000,90000,87816,75415,4224,62000
"49",72,1102,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",2439,1749,690,0.282902829,44,2174,1819,620,1528,182,0.077249576,40000,27000,54000,535,893,94,14800,305,10592,8768,216,0.019985196,80000,53000,120000,33049,25557,22496,734,0.027918299,63000,40000,99000,0.30930636,0.26984127,33955,26321,22810,821,0.030248324,63000,40000,98000,51194,43295,1219,61500
"50",113,1106,"SOIL SCIENCE","Agriculture & Natural Resources",685,476,209,0.305109489,4,613,488,185,383,0,0,35000,18500,44000,355,144,0,3335,61,2284,1641,34,0.014667817,65000,50000,91000,6242,4654,3917,264,0.053680358,65000,41000,89000,0.348230135,0,6586,4926,4042,264,0.050867052,63000,39400,88000,10606,8874,298,57000
"51",16,2402,"BIOLOGICAL ENGINEERING","Engineering",8925,6062,2863,0.320784314,55,6170,5455,1983,3413,589,0.087143069,57100,40000,76000,3603,1595,524,21515,433,16810,13353,695,0.039702942,80000,50000,120000,28562,21509,17822,1118,0.049409997,65000,40000,93000,0.429638357,0.230769231,32748,24270,18621,1521,0.058974061,62000,40000,91000,63188,51955,2805,66025
"52",22,1104,"FOOD SCIENCE","Agriculture & Natural Resources",NA,NA,NA,NA,36,3149,2558,1121,1735,338,0.09693146,53000,32000,70000,1183,1274,485,14521,266,10857,8074,370,0.032956266,72000,50000,110000,22853,16298,12431,681,0.040108369,63000,40000,92000,0.388532135,0.142857143,24280,17281,12722,894,0.049188446,62000,38500,90000,NA,34951,1602,62500
"53",35,6107,"NURSING","Health",209394,21773,187621,0.896018988,2554,180903,151191,40818,122817,8497,0.044862724,48000,39000,58000,151643,26146,6193,573467,10432,437115,335009,9498,0.021266734,84000,62000,110000,1686899,1256606,909187,32472,0.025190097,64000,50000,80000,0.253705373,0.3125,1769892,1325711,947546,36503,0.026796818,62000,48000,80000,2552753,2080081,54498,64500
"54",40,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","Physical Sciences",2116,528,1588,0.75047259,31,1778,1392,579,1115,137,0.07154047,46000,38000,53000,162,1475,124,3910,65,3129,2565,28,0.00886918,80000,55000,106000,11069,8699,6701,605,0.065025795,64000,45000,80000,0.261032112,0.25,12166,9560,7238,718,0.069857949,62000,45000,80000,18192,15248,883,63000
"55",71,5205,"INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","Psychology & Social Work",3014,1075,1939,0.643331121,24,2343,1644,1095,1409,286,0.108786611,40000,32000,53000,559,1224,272,13718,221,9546,7366,453,0.04530453,75000,50000,106000,16994,11009,8347,1044,0.08661744,63000,41000,85000,0.446665798,0.19047619,17969,11878,8631,1084,0.08362907,62000,40000,84000,34701,27939,1823,60000
